,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
10,The Obscure Life of the Grand Duke of Corsica,2021,N/A,03 Nov 2021,93 min,"Comedy, Drama",Daniel Graham,Daniel Graham,"Timothy Spall, Peter Stormare, Matt Hookings","In 1221 a young man is set on his path to becoming St. Francis of Assisi. A thousand years later an architect must build a mausoleum for a dying billionaire. Separated by history, these men's lives will be forever changed by a pandem","English, German",https://m.media-amazon.com/images/M/MV5BZDc1ZGEwMzAtYjc5NC00ZTA4LWIxYTItMWRjYzM4ZjJjN2ZhXkEyXkFqcGdeQXVyMjgxOTM1MDU@._V1_SX300.jpg,N/A,N/A,N/A,N/A
11,Eternals,2014–,N/A,16 Sep 2014,N/A,"Animation, Adventure, Fantasy",N/A,N/A,"Lisa Ann Beley, Trevor Devall, Heather Doerksen","Medical student Mark Curry's world is turned upside down when he meets Ike Harris, a man who believes that he is part of a centuries-old race of super-powered beings put here on Earth by aliens to preserve and safeguard the planet, a",English,https://m.media-amazon.com/images/M/MV5BNGE3ODRjMDYtMThkOC00MDBiLWJkNGQtMTg0MDcyNDI3ODVmXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,N/A,6.5,N/A,N/A
12,Spencer,2021,R,05 Nov 2021,111 min,"Biography, Drama, Romance",Pablo Larraín,Steven Knight,"Kristen Stewart, Timothy Spall, Jack Nielen","During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",English,https://m.media-amazon.com/images/M/MV5BZjdmYjM2YzEtZjk2NS00MWM4LWI2N2YtNmRjMTExYThlMGVlXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,85,6.4,N/A,N/A
13,Ida Red,2021,R,11 Aug 2021,111 min,"Action, Thriller",John Swab,John Swab,"Frank Grillo, Deborah Ann Woll, Melissa Leo","Ida ""Red"" Walker may not survive her terminal illness while incarcerated for armed robbery. She turns to her son, Wyatt, for one last job and a chance to regain her freedom.",English,https://m.media-amazon.com/images/M/MV5BYTUwMWVlNzctYmExMy00ODY3LWI5ZjktZTJmZTc3ZWZkNjBhXkEyXkFqcGdeQXVyMjEzMjMzNDc@._V1_SX300.jpg,N/A,5.9,N/A,N/A
14,Violet,2014,N/A,06 Nov 2014,85 min,"Action, Drama, Family",Bas Devos,Bas Devos,"Cesar De Sutter, Koen De Sutter, Mira Helmer",15-year-old Jesse is the only one who witnessed the stabbing of his friend Jonas. Now he has to face his family and friends form the BMX riders crew and explain the unexplainable - how he feels about it.,"Flemish, Dutch",https://m.media-amazon.com/images/M/MV5BMjZhZTcyOWItYjI4My00ZGI4LWJlOTYtNjRkNjg3ODRjMzk1XkEyXkFqcGdeQXVyNjY0MTgwOQ@@._V1_SX300.jpg,77,5.9,N/A,N/A
15,The Beta Test,2021,Unrated,05 Nov 2021,93 min,"Horror, Thriller","Jim Cummings, PJ McCabe","Jim Cummings, PJ McCabe","Jim Cummings, Virginia Newcomb, PJ McCabe","A married Hollywood agent receives a mysterious letter for an anonymous sexual encounter and becomes ensnared in a sinister world of lying, infidelity, and digital data.",English,https://m.media-amazon.com/images/M/MV5BOTJmNzM5ZjAtN2QxOC00ZWU4LTliMDUtOTk0NmZjYzM0MTgyXkEyXkFqcGdeQXVyMTA5Mzg5Nzc@._V1_SX300.jpg,N/A,6.8,N/A,N/A
16,Dangerous,1935,Passed,25 Dec 1935,79 min,"Drama, Romance",Alfred E. Green,Laird Doyle,"Bette Davis, Franchot Tone, Margaret Lindsay","An alcoholic actress who is considered a dangerous jinx is rehabilitated, but she then shows that she's as dangerous as ever.",English,https://m.media-amazon.com/images/M/MV5BZDFlY2VkNTMtMDcwOC00YjlkLWE2ZGMtMGVlZGUxNTcwNGVjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,N/A,6.9,N/A,N/A
17,Clifford the Big Red Dog,2000–2003,TV-Y,04 Sep 2000,30 min,"Animation, Short, Comedy",N/A,Karen Heathwood,"Antonio Delli, John Ritter, Grey Griffin",The adventures of a larger-than-life red dog on Bridwell Island.,English,https://m.media-amazon.com/images/M/MV5BMDg1NDM3YTYtNmE0Yy00MWY3LWI0NmQtNzA4ZmRiODU0MTJmXkEyXkFqcGdeQXVyODk1MjAxNzQ@._V1_SX300.jpg,N/A,6.6,N/A,N/A
18,Belfast,2021,N/A,12 Nov 2021,98 min,Drama,Kenneth Branagh,Kenneth Branagh,"Jamie Dornan, Caitriona Balfe, Ciarán Hinds",A young boy and his working class family experience the tumultuous late 1960s.,English,https://m.media-amazon.com/images/M/MV5BZTcwN2IzYjgtYzc4ZS00ZmQ3LTllMzMtNGE3MmFmYTNjMzYxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,75,N/A,N/A,N/A
19,Night Raiders,2021,N/A,15 Jun 2021,97 min,Sci-Fi,Danis Goulet,Danis Goulet,"Elle-Máijá Tailfeathers, Brooklyn Letexier-Hart, Alex Tarrant",A mother joins an underground band of vigilantes to try and rescue her daughter from a state-run institution.,"Cree, English",https://m.media-amazon.com/images/M/MV5BZmI2MTdjOTEtZWI0OS00Njg2LTg4MTQtNGUzZTRlMjQzNjhjXkEyXkFqcGdeQXVyMTEyMjc0MA@@._V1_SX300.jpg,N/A,7.0,N/A,N/A
20,Apex,2013–,N/A,05 Jan 2014,N/A,"Drama, Horror, Sci-Fi",N/A,N/A,"Yuri Sardarov, Charlie Barnett, Brent Antonello, Devin Lytle",N/A,English,N/A,N/A,7.7,N/A,N/A
21,Ghostbusters: Afterlife,2021,PG-13,19 Nov 2021,N/A,"Comedy, Fantasy",Jason Reitman,"Gil Kenan, Jason Reitman, Dan Aykroyd","Finn Wolfhard, Mckenna Grace, Carrie Coon","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",English,https://m.media-amazon.com/images/M/MV5BMmZiMjdlN2UtYzdiZS00YjgxLTgyZGMtYzE4ZGU5NTlkNjhhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,N/A,N/A,N/A,N/A
22,King Richard,2021,PG-13,19 Nov 2021,138 min,"Biography, Drama, Sport",Reinaldo Marcus Green,Zach Baylin,"Jon Bernthal, Will Smith, Tony Goldwyn",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,English,https://m.media-amazon.com/images/M/MV5BYTcyNmY4ZGEtYmE4Zi00ZDViLTlmYzMtMmQ4ZTM4OWNmZjQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,77,N/A,N/A,N/A
23,C'mon C'mon,2021,R,19 Nov 2021,108 min,Drama,Mike Mills,Mike Mills,"Joaquin Phoenix, Gaby Hoffmann, Woody Norman",A radio journalist embarks on a cross-country trip with his young nephew.,English,https://m.media-amazon.com/images/M/MV5BMzkwZWJhOTUtZTJkMC00OWQ5LTljZDctYzgxNWFiYjEyZjZiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,84,N/A,N/A,N/A
24,Mothering Sunday,2021,R,19 Nov 2021,110 min,Drama,Eva Husson,"Alice Birch, Graham Swift","Olivia Colman, Glenda Jackson, Colin Firth",A maid living in post-World War I England secretly plans to meet with the man she loves before he leaves to marry another woman.,English,https://m.media-amazon.com/images/M/MV5BZDAwZjI4MWMtNGM1OS00ZTEzLTg4ZTYtNjM1YjA1YmFiOGRiXkEyXkFqcGdeQXVyNTg1MDQzMDU@._V1_SX300.jpg,69,6.2,N/A,Disney
25,A House on the Bayou,2021,N/A,19 Nov 2021,N/A,"Horror, Thriller",Alex McAulay,Alex McAulay,"Angela Sarafyan, Lia McHugh, Paul Schneider","Follows a troubled couple and their daughter who go on vacation to an isolated house in the Louisiana bayou to reconnect as a family. But when unexpected visitors arrive, the unity starts to unravel.",N/A,N/A,N/A,N/A,N/A,N/A
26,Resident Evil: Welcome to Raccoon City,2013,N/A,28 Feb 2013,N/A,"Action, Sci-Fi",N/A,Justin Lee,"Todd A. Robinson, Patrick D. Green, Justin Lee",N/A,English,N/A,N/A,5.8,N/A,N/A
27,House of Gucci,2021,R,24 Nov 2021,N/A,"Crime, Drama, Thriller",Ridley Scott,"Becky Johnston, Roberto Bentivegna, Sara Gay Forden","Adam Driver, Salma Hayek, Al Pacino","Spanning three decades of love, betrayal, decadence, revenge, and ultimately murder, we see what a name means, what it's worth, and how far a family will go for control.",English,https://m.media-amazon.com/images/M/MV5BZThjMTA5YjgtZmViZi00YjY0LTk5MzQtMjUwMGEzZGVlYzFjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
28,Encanto,2021,N/A,24 Nov 2021,N/A,"Animation, Adventure, Comedy","Jared Bush, Byron Howard, Charise Castro Smith","Jared Bush, Charise Castro Smith, Lin-Manuel Miranda","Stephanie Beatriz, Diane Guerrero, Wilmer Valderrama",A young Colombian girl has to face the frustration of being the only member of her family without magical powers.,English,https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,N/A,N/A,"$65,002,597",N/A
29,Drive My Car,1994,G,N/A,3 min,"Musical, Short",Radoslav Lazarov,Radoslav Lazarov,N/A,"A favorite music video for preschoolers (and up!) about driving by beloved children's musician and People Magazine's ""Queen of Children's Music"" Laurie Berkner.",N/A,https://m.media-amazon.com/images/M/MV5BYmI4ZDhmMWUtYjFhYS00OWYwLTgxNzAtZmI3ZjZhMTZhYzMxL2ltYWdlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_SX300.jpg,N/A,8.8,N/A,N/A
30,The Humans,2021,R,24 Nov 2021,108 min,Drama,Stephen Karam,Stephen Karam,"Beanie Feldstein, Steven Yeun, Richard Jenkins","Set inside a pre-war duplex in downtown Manhattan, The Humans follows the course of an evening in which the Blake family gathers to celebrate Thanksgiving. As darkness falls outside the crumbling building, mysterious things start to ",English,https://m.media-amazon.com/images/M/MV5BYTZjYzU4NDctNjg0NS00YmIzLTkzMzctZDQ2YjE3ZjEyMDg5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,78,7.3,"$44,055,492",N/A
31,Licorice Pizza,2021,R,26 Nov 2021,100 min,"Comedy, Drama",Paul Thomas Anderson,Paul Thomas Anderson,"Alana Haim, Bradley Cooper, Skyler Gisondo","The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973.",English,https://m.media-amazon.com/images/M/MV5BMGU4NzhkZDAtZmIyNi00ZGE2LWE2ODMtMGNiNjc3MTQxOTU1XkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_SX300.jpg,N/A,N/A,N/A,N/A
32,Wolf,1994,R,17 Jun 1994,125 min,"Drama, Horror, Romance",Mike Nichols,"Jim Harrison, Wesley Strick","Jack Nicholson, Michelle Pfeiffer, James Spader",Publisher Will Randall becomes a demon wolf and has to fight to keep his job.,"English, Spanish",https://m.media-amazon.com/images/M/MV5BMjY3NTgxZGItMWU2Mi00OTQ0LTg2OGQtYWI3NzU4MTYxMTBlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,6.2,N/A,"Controlled Chaos Enterprises, Beyond Casual Media"
33,Red Rocket,2021,R,03 Dec 2021,128 min,"Comedy, Drama",Sean Baker,"Sean Baker, Chris Bergoch","Simon Rex, Bree Elrod, Brenda Deiss","Mikey Saber is a washed-up porn star who returns to his small Texas hometown, not that anyone really wants him back.",English,https://m.media-amazon.com/images/M/MV5BMmI2MzFiOGItM2M2Yy00NDM5LThiMjQtYzc0MzIxZGM0Yzg4XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_SX300.jpg,78,7.0,N/A,N/A
34,West Side Story,1961,Approved,18 Oct 1961,153 min,"Crime, Drama, Musical","Jerome Robbins, Robert Wise","Ernest Lehman, Arthur Laurents, Jerome Robbins","Natalie Wood, George Chakiris, Richard Beymer","Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.","English, Spanish",https://m.media-amazon.com/images/M/MV5BMTM0NDAxOTI5MF5BMl5BanBnXkFtZTcwNjI4Mjg3NA@@._V1_SX300.jpg,86,7.5,N/A,Twentieth Century Fox
35,France,2021,N/A,10 Dec 2021,133 min,"Comedy, Drama",Bruno Dumont,Bruno Dumont,"Léa Seydoux, Blanche Gardin, Benjamin Biolay","A celebrity journalist, juggling her busy career and personal life, has her life over-turned by a freak car accident.","French, German, English",https://m.media-amazon.com/images/M/MV5BODIzNjFlOGMtYzc5OC00ZWZhLWFiNjMtOTE4MjYwM2Q2ZGNlXkEyXkFqcGdeQXVyMTI5MzU4Mzkz._V1_SX300.jpg,51,5.5,"$125,930",N/A
36,Encounter,2018,N/A,01 Oct 2019,92 min,"Drama, Sci-Fi",Paul Salamoff,Paul Salamoff,"Luke Hemsworth, Anna Hutchison, Tom Atkins","A group of friends uncover an otherworldly object in a rural field, which they soon discover holds greater secrets than they could imagine.",English,https://m.media-amazon.com/images/M/MV5BNzE4ODE4NmMtN2Y2NC00MzBjLThmMjUtYWE3OGE0NjBkMDdkXkEyXkFqcGdeQXVyNjI2ODA4MDU@._V1_SX300.jpg,N/A,3.9,N/A,N/A
37,Spider-Man: No Way Home,2021,N/A,17 Dec 2021,N/A,"Action, Adventure, Sci-Fi",Jon Watts,"Chris McKenna, Erik Sommers, Steve Ditko","Zendaya, Tom Holland, Benedict Cumberbatch","For the first time in the cinematic history of Spider-Man, our friendly neighborhood hero is unmasked and no longer able to separate his normal life from the high-stakes of being a Super Hero. When he asks for help from Doctor Strang",English,https://m.media-amazon.com/images/M/MV5BNTMxOGI4OGMtMTgwMy00NmFjLWIyOTUtYjQ0OGQ4Mjk0YjNjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,N/A,N/A,N/A,"Universal Pictures, Illumination Entertainment"
38,Nightmare Alley,1947,Passed,28 Oct 1947,110 min,"Drama, Film-Noir",Edmund Goulding,"Jules Furthman, William Lindsay Gresham","Tyrone Power, Joan Blondell, Coleen Gray","The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall.",English,https://m.media-amazon.com/images/M/MV5BODhjZDdlZGUtY2VkMS00NTE4LWJjMjctODE3OGEyN2MzY2EyL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,7.8,N/A,N/A
39,Swan Song,2021,R,13 Aug 2021,105 min,Drama,Todd Stephens,Todd Stephens,"Udo Kier, Jennifer Coolidge, Linda Evans",A formerly flamboyant hairdresser takes a long walk across a small town to style a dead woman's hair.,English,https://m.media-amazon.com/images/M/MV5BYTM4YmI5NzItNjViZS00MmE2LWE3ZWUtMTI0ZTg4ZWM2NWU4XkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,66,7.0,N/A,N/A
40,The Matrix Resurrections,2021,N/A,22 Dec 2021,N/A,"Action, Sci-Fi",Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksandar Hemon","Keanu Reeves, Carrie-Anne Moss, Yahya Abdul-Mateen II",The plot is currently unknown.,English,https://m.media-amazon.com/images/M/MV5BMmRmZTA3NzAtN2RlZC00Mjc1LTllZDQtNDc0YTYzZmM4ZTQ1XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,N/A,N/A,N/A,N/A
41,Shakespeare: The King's Man,2012–,N/A,01 Jan 2012,N/A,"Documentary, Biography, History",N/A,N/A,"James Shapiro, Greg Hicks, Kelly Hunter","Shakespeare's life and work are sometimes romanticized as a product of the golden age of Elizabeth I. But the bard produced some of his finest plays after the Virgin Queen's death. In this illuminating BBC series, American scholar Ja",English,https://m.media-amazon.com/images/M/MV5BMjM3NTU2NDA1MV5BMl5BanBnXkFtZTgwNDQ2MjAxMzE@._V1_SX300.jpg,N/A,7.0,N/A,N/A
42,Sing 2,2021,PG,22 Dec 2021,N/A,"Animation, Adventure, Comedy",Garth Jennings,Garth Jennings,"Matthew McConaughey, Taron Egerton, Tori Kelly",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,English,https://m.media-amazon.com/images/M/MV5BNTA4NTRhZGUtYTJjNi00YTBkLTlhNjYtOThjZjY4ZTFiZmRhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,N/A,N/A,"$103,046,663",N/A
43,A Journal for Jordan,2021,N/A,22 Dec 2021,N/A,Drama,Denzel Washington,"Dana Canedy, John Burnham Schwartz, Virgil Williams","Michael B. Jordan, Robert Wisdom, Vanessa Aspillaga","1st Sgt. Charles Monroe King, before he is killed in action in Baghdad, authors a journal for his son intended to tell him how to live a decent life despite growing up without a father.",English,https://m.media-amazon.com/images/M/MV5BMjVjNmUyZGItMDRlZi00ZTMwLTllM2UtNzFlZDZhMWMxOTUyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
44,The Tragedy of Macbeth,1971,R,25 Dec 1971,140 min,"Biography, Drama, History",Roman Polanski,"Roman Polanski, William Shakespeare, Kenneth Tynan","Jon Finch, Francesca Annis, Martin Shaw",A ruthlessly ambitious Scottish lord seizes the throne with the help of his scheming wife and a trio of witches.,English,https://m.media-amazon.com/images/M/MV5BNzFlMGJiYjgtY2ZiZi00YmQzLWJiY2QtZDAyOTBlYzc2MGQ0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,7.4,N/A,N/A
45,American Underdog,2021,N/A,25 Dec 2021,N/A,Drama,"Andrew Erwin, Jon Erwin","David Aaron Cohen, Jon Erwin, Jon Gunn","Zachary Levi, Anna Paquin, Dennis Quaid","The story of NFL MVP and Hall of Fame quarterback, Kurt Warner, who went from stocking shelves at a supermarket to becoming an American Football star.",English,https://m.media-amazon.com/images/M/MV5BZDUxMDdjNDItYTA2Zi00ZmJkLWIxOWQtYTk5NDlhNGYzN2ViXkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,N/A,N/A,N/A,N/A
46,The 355,2022,PG-13,07 Jan 2022,N/A,"Action, Thriller",Simon Kinberg,"Theresa Rebeck, Simon Kinberg, Bek Smith","Jessica Chastain, Lupita Nyong'o, Diane Kruger","When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every m",English,https://m.media-amazon.com/images/M/MV5BNzk4MDZhNTctMDA3OC00ODdkLWIyOWYtN2M0MzA3MDY5NDk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,N/A,N/A,N/A,N/A
47,Scream,1996,R,20 Dec 1996,111 min,"Horror, Mystery",Wes Craven,Kevin Williamson,"Neve Campbell, Courteney Cox, David Arquette","A year after the murder of her mother, a teenage girl is terrorized by a new killer, who targets the girl and her friends by using horror films as part of a deadly game.",English,https://m.media-amazon.com/images/M/MV5BMjA2NjU5MTg5OF5BMl5BanBnXkFtZTgwOTkyMzQxMDE@._V1_SX300.jpg,65,7.3,N/A,N/A
48,The Man from Toronto,1933,N/A,N/A,77 min,"Comedy, Romance",Sinclair Hill,"W.P. Lipscomb, Douglas Murray","Jessie Matthews, Ian Hunter, Frederick Kerr",The rich widow Leila disguises herself as a maid and falls in love with her employer Fergus who is a rich Canadian bachelor. Their wealth depends on each getting married within the next year. Whose fooling who in this comedy love aff,English,https://m.media-amazon.com/images/M/MV5BNWU5NWQyODQtNzNmNi00ZWZmLTk2NGQtMTRjZmM3OWYyNGE1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTE1NDUzNg@@._V1_SX300.jpg,N/A,6.5,N/A,N/A
49,Deep Water,2016,Not Rated,05 Oct 2016,55 min,"Crime, Drama, Mystery",N/A,N/A,"Noah Taylor, Yael Stone, Jeremy Lindsay Taylor","When a young gay man is brutally murdered near Bondi Beach, Detectives Tori Lustigman and Nick Manning are assigned to investigate. After more bodies are found, Tori links the deaths to a series of murders of gay men in the 1980s and","English, Arabic",https://m.media-amazon.com/images/M/MV5BNzUyY2ViZmYtZDg5OS00MzZlLThhM2YtOTNjZGVmMjlhOTQxXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_SX300.jpg,N/A,6.9,"$14,560,084",N/A
50,Sesame Street,1969–,TV-Y,21 Jul 1969,55 min,"Animation, Adventure, Comedy",N/A,N/A,"Jim Henson, Frank Oz, Caroll Spinney","On a special inner city street, the inhabitants, human and muppet, teach preschool subjects with comedy, cartoons, games, and songs.","English, Spanish, American Sign ",https://m.media-amazon.com/images/M/MV5BODM4NDI3OTcxN15BMl5BanBnXkFtZTgwNjc3MjIwMTI@._V1_SX300.jpg,N/A,8.1,N/A,N/A
51,Operation Fortune: Ruse de guerre,2022,N/A,21 Jan 2022,N/A,"Action, Thriller",Guy Ritchie,"Ivan Atkinson, Marn Davies","Jason Statham, Josh Hartnett, Aubrey Plaza",MI6 agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.,"English, Chinese",https://m.media-amazon.com/images/M/MV5BNWM0OTRmYzQtYTJlZS00YjM0LTgzMTAtMDQ5YzY1N2U0NzJkXkEyXkFqcGdeQXVyMTAxNDE3MTE5._V1_SX300.jpg,N/A,N/A,"$50,000,000",N/A
