,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Poster,Metascore,imdbRating,BoxOffice,Production
10,The Gentlemen,2019,R,24 Jan 2020,113 min,"Action, Comedy, Crime",Guy Ritchie,"Guy Ritchie, Ivan Atkinson, Marn Davies","Matthew McConaughey, Charlie Hunnam, Michelle Dockery","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","English, Russian, Spanish, Chinese",https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,51,7.8,"$36,471,795",N/A
11,Fantasy Island,2020,PG-13,14 Feb 2020,109 min,"Action, Adventure, Fantasy",Jeff Wadlow,"Jeff Wadlow, Christopher Roach, Jillian Jacobs","Michael Peña, Maggie Q, Lucy Hale","When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",English,https://m.media-amazon.com/images/M/MV5BOWE2ODZhYWYtNTFiYy00MjdmLWIzZGEtNTkyOTc1NDIwMjk4XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,22,4.9,"$27,309,289",N/A
12,The New Mutants,2020,PG-13,28 Aug 2020,94 min,"Action, Horror, Mystery",Josh Boone,"Josh Boone, Knate Lee","Maisie Williams, Anya Taylor-Joy, Charlie Heaton","Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.","English, Portuguese, Latin",https://m.media-amazon.com/images/M/MV5BZDQ2NTdmNDgtMGIwMS00ODE2LTk5M2EtZGZhYzc4MWRlNTU3XkEyXkFqcGdeQXVyNTc4MjczMTM@._V1_SX300.jpg,43,5.3,"$23,852,659",N/A
13,Like a Boss,2020,R,10 Jan 2020,83 min,Comedy,Miguel Arteta,"Sam Pitman, Adam Cole-Kelly, Danielle Sanchez-Witzel","Tiffany Haddish, Rose Byrne, Salma Hayek",Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,"English, Spanish, French, Russian",https://m.media-amazon.com/images/M/MV5BNjAyZDRjMjQtODE3MC00ODI2LTgxODktZThjYTgzZDE5NTc4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,33,4.6,"$22,169,514",Paramount Pictures
14,The War with Grandpa,2020,PG,09 Oct 2020,94 min,"Comedy, Drama, Family",Tim Hill,"Tom J. Astle, Matt Ember, Robert Kimmel Smith","Robert De Niro, Uma Thurman, Rob Riggle","Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.",English,https://m.media-amazon.com/images/M/MV5BNTlkZDQ1ODEtY2ZiMS00OGNhLWJlZDctYzY0NTFmNmQ2NDAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,34,5.6,"$21,277,892","West Madison Entertainment , Dimension Films, Emmett/Furla/Oasis Films, Marro Films, TRI G"
15,The Grudge,2004,PG-13,22 Oct 2004,91 min,"Horror, Mystery, Thriller",Takashi Shimizu,"Stephen Susco, Takashi Shimizu","Sarah Michelle Gellar, Jason Behr, Clea DuVall","An American nurse living and working in Tokyo is exposed to a mysterious supernatural curse, one that locks a person in a powerful rage before claiming their life and spreading to another victim.","English, Japanese",https://m.media-amazon.com/images/M/MV5BMjIxODg1Nzc3NF5BMl5BanBnXkFtZTcwMjM0MjEzMw@@._V1_SX300.jpg,49,5.9,"$110,359,362",N/A
16,Unhinged,2020,R,21 Aug 2020,90 min,"Action, Thriller",Derrick Borte,Carl Ellsworth,"Russell Crowe, Caren Pistorius, Gabriel Bateman","After a confrontation with an unstable man at an intersection, a woman becomes the target of his rage.",English,https://m.media-amazon.com/images/M/MV5BYjc1Mjg5NjItY2I2MS00NDk3LWI5NGYtNzZjNTNiZmMwZTA3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,40,6.0,"$20,831,465",N/A
17,The Photograph,2020,PG-13,14 Feb 2020,106 min,"Drama, Romance",Stella Meghie,Stella Meghie,"Issa Rae, LaKeith Stanfield, Chanté Adams",A series of intertwining love stories set in the past and in the present.,English,https://m.media-amazon.com/images/M/MV5BMjY3OWY4NDMtNmMwYy00ODNmLTljODAtMzEyNWI5ZDc1YzU3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,62,6.1,"$20,578,185",N/A
18,Underwater,2020,PG-13,10 Jan 2020,95 min,"Action, Horror, Sci-Fi",William Eubank,"Brian Duffield, Adam Cozad","Kristen Stewart, Vincent Cassel, Mamoudou Athie",A crew of oceanic researchers working for a deep sea drilling company try to get to safety after a mysterious earthquake devastates their deepwater research and drilling facility located at the bottom of the Mariana Trench.,English,https://m.media-amazon.com/images/M/MV5BNzM0OGZiZWItYmZiNC00NDgzLTg1MjMtYjM4MWZhOGZhMDUwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,48,5.8,"$17,291,078",N/A
19,The Turning,2020,PG-13,24 Jan 2020,94 min,"Drama, Horror, Mystery",Floria Sigismondi,"Henry James, Chad Hayes, Carey W. Hayes","Mackenzie Davis, Finn Wolfhard, Brooklynn Prince","A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""",English,https://m.media-amazon.com/images/M/MV5BY2ZiMzVkNzktZjlmMy00MWE1LWJkMjgtZTFiMWYyYTU3M2FjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,35,3.8,"$15,472,775",N/A
20,Gretel,2012,N/A,16 May 2012,89 min,Fantasy,Thomas L. Muschitz,Thomas L. Muschitz,"Tom Crawford, Edy Cullen, Nikki Farce, Gwen Graves",N/A,English,N/A,N/A,N/A,N/A,N/A
21,Monster Hunter,2020,PG-13,18 Dec 2020,103 min,"Action, Adventure, Fantasy",Paul W.S. Anderson,"Paul W.S. Anderson, Kaname Fujioka","Milla Jovovich, Tony Jaa, Ron Perlman","When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.",English,https://m.media-amazon.com/images/M/MV5BOGU3NTFmNjYtODc3Ny00MWEzLWI3M2ItZjE3NDgwMTI0MzkzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,47,5.3,"$15,162,470",N/A
22,Honest Thief,2020,PG-13,16 Oct 2020,99 min,"Action, Crime, Drama",Mark Williams,"Steve Allrich, Mark Williams","Liam Neeson, Kate Walsh, Jai Courtney","Wanting to lead an honest life, a notorious bank robber turns himself in, only to be double-crossed by two ruthless FBI agents.","English, Spanish, German",https://m.media-amazon.com/images/M/MV5BZjEwNjYyMTMtODc5Yi00NTg5LTkwMzAtZTkyOTcyNTFkMGIyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,46,6.0,"$14,163,574",N/A
23,The Way Back,2010,PG-13,21 Jan 2011,133 min,"Adventure, Drama, History",Peter Weir,"Slavomir Rawicz, Peter Weir, Keith R. Clarke","Jim Sturgess, Ed Harris, Colin Farrell",Siberian gulag escapees travel four thousand miles by foot to freedom in India.,"English, Russian, Polish, Tibetan, Mongolian",https://m.media-amazon.com/images/M/MV5BMTg5MTc5MTM3Ml5BMl5BanBnXkFtZTcwMDI2NzgwNA@@._V1_SX300.jpg,66,7.3,"$2,701,859",N/A
24,News of the World,2020,PG-13,25 Dec 2020,118 min,"Action, Adventure, Drama",Paul Greengrass,"Paul Greengrass, Luke Davies, Paulette Jiles","Tom Hanks, Helena Zengel, Tom Astor","A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","English, North American Indian, German",https://m.media-amazon.com/images/M/MV5BMDNlNmVlNDItMjE3Yi00ZTA3LWIyOTktNDhhMGFlZjk5ZDQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,73,6.8,"$12,668,325",N/A
25,Brahms: The Boy II,2020,PG-13,21 Feb 2020,86 min,"Drama, Horror, Mystery",William Brent Bell,Stacey Menear,"Katie Holmes, Christopher Convery, Owain Yeoman","After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",English,https://m.media-amazon.com/images/M/MV5BZjFmY2IwZmEtNTE4Mi00YzNmLTgzZTgtZjg1NzBhMGZjNGYzXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,29,4.7,"$12,611,536",N/A
26,Come Play,2020,PG-13,30 Oct 2020,96 min,"Drama, Horror, Mystery",Jacob Chase,Jacob Chase,"Azhy Robertson, Gillian Jacobs, John Gallagher Jr.",A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.,English,https://m.media-amazon.com/images/M/MV5BYzI4NzU4M2EtNWI2YS00ZjdmLWIzOTQtZmFkYTg2OTlkMTk3XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,58,5.7,"$10,475,990",N/A
27,Impractical Jokers: The Movie,2020,PG-13,28 Feb 2020,92 min,Comedy,Chris Henchy,"Chris Henchy, Joe Gatto, James Murray","Paula Abdul, Joe Gatto, James Murray",The story of a humiliating high school mishap from 1992 that sends the Impractical Jokers on the road competing in hidden-camera challenges for the chance to turn back the clock and redeem three of the four Jokers.,English,https://m.media-amazon.com/images/M/MV5BNWYwNjVhZDUtZjk2Yi00Mjc5LTkwYWMtMzU2ZDY1N2VjZGU1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,39,5.9,"$10,691,091",N/A
28,I Still Believe,2020,PG,13 Mar 2020,116 min,"Biography, Drama, Music","Andrew Erwin, Jon Erwin","Jeremy Camp, Jon Erwin, Jon Gunn","K.J. Apa, Britt Robertson, Nathan Parsons",The true-life story of Christian music star Jeremy Camp and his journey of love and loss that looks to prove there is always hope.,English,https://m.media-amazon.com/images/M/MV5BZTczOTM1ZGEtNzkyNS00NGRmLWI3YjEtZmRlOGZmMzgzNzU2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,41,6.5,"$9,868,521",N/A
29,Emma.,2020,PG,06 Mar 2020,124 min,"Comedy, Drama, Romance",Autumn de Wilde,"Eleanor Catton, Jane Austen","Anya Taylor-Joy, Johnny Flynn, Mia Goth","In 1800s England, a well meaning but selfish young woman meddles in the love lives of her friends.",English,https://m.media-amazon.com/images/M/MV5BOGRiODEzM2QtOTUyYi00MWRlLTg4MzMtZGI0YmUzNWUyMjQ0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,71,6.7,"$10,055,355",N/A
30,Bloodshot,2020,PG-13,13 Mar 2020,109 min,"Action, Drama, Sci-Fi",Dave Wilson,"Jeff Wadlow, Eric Heisserer, Kevin VanHook","Vin Diesel, Eiza González, Sam Heughan","Ray Garrison, a slain soldier, is re-animated with superpowers.","English, Persian",https://m.media-amazon.com/images/M/MV5BYjA5YjA2YjUtMGRlNi00ZTU4LThhZmMtNDc0OTg4ZWExZjI3XkEyXkFqcGdeQXVyNjUyNjI3NzU@._V1_SX300.jpg,44,5.7,"$12,561,824",N/A
31,Let Him Go,2020,R,06 Nov 2020,113 min,"Crime, Drama, Thriller",Thomas Bezucha,"Thomas Bezucha, Larry Watson","Diane Lane, Kevin Costner, Kayli Carter","A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.","English, Ukrainian",https://m.media-amazon.com/images/M/MV5BNGNhN2I2NzEtMzFiMy00Y2IzLTk0OTctNjcxZmYwYjIyMzEzXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,63,6.7,"$9,358,025",N/A
32,Freaky,2020,R,13 Nov 2020,102 min,"Comedy, Horror, Thriller",Christopher Landon,"Michael Kennedy, Christopher Landon","Vince Vaughn, Kathryn Newton, Celeste O'Connor","After swapping bodies with a deranged serial killer, a young girl in high school discovers she has less than 24 hours before the change becomes permanent.",English,https://m.media-amazon.com/images/M/MV5BMTRkYmJlY2ItNmFlZi00OWVhLTg1ZTctOGE0MjM5ZGMwMmY4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,67,6.4,"$9,030,855",N/A
33,Downhill,2020,R,14 Feb 2020,86 min,"Comedy, Drama","Nat Faxon, Jim Rash","Jesse Armstrong, Nat Faxon, Jim Rash","Julia Louis-Dreyfus, Will Ferrell, Zach Woods","Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.","English, German, Italian, Hindi",https://m.media-amazon.com/images/M/MV5BM2QxMWFlOTktNWY0Mi00MDQ5LWExMTYtNThjZTFhNGZkZjk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,49,4.9,"$8,287,061",N/A
34,Tenki no ko,2019,PG-13,17 Jan 2020,112 min,"Animation, Drama, Fantasy",Makoto Shinkai,Makoto Shinkai,"Kotaro Daigo, Nana Mori, Tsubasa Honda",A high-school boy who has run away to Tokyo befriends a girl who appears to be able to manipulate the weather.,Japanese,https://m.media-amazon.com/images/M/MV5BNzE4ZDEzOGUtYWFjNC00ODczLTljOGQtZGNjNzhjNjdjNjgzXkEyXkFqcGdeQXVyNzE5ODMwNzI@._V1_SX300.jpg,72,7.5,"$8,056,636",N/A
35,Promising Young Woman,2020,R,25 Dec 2020,113 min,"Crime, Drama, Thriller",Emerald Fennell,Emerald Fennell,"Carey Mulligan, Bo Burnham, Alison Brie","A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who crossed her path.",English,https://m.media-amazon.com/images/M/MV5BOTgzMzE4MGItZDgxYS00ZGEwLWE3YTctZWY3ZDAyMTk0ZGU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,73,7.5,"$6,460,965",N/A
36,Fatale,2020,R,18 Dec 2020,102 min,Thriller,Deon Taylor,David Loughery,"Hilary Swank, Michael Ealy, Mike Colter","After a one-night stand, a successful married man finds himself entangled in a cunning police detective's latest investigation.",English,https://m.media-amazon.com/images/M/MV5BZmI2OThhMmYtZjVjOC00NWE3LWIwOGItMWM1MTEzMGNiOTM4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,42,5.4,"$6,306,897",N/A
37,The Hunt,2020,R,13 Mar 2020,90 min,"Action, Horror, Thriller",Craig Zobel,"Nick Cuse, Damon Lindelof","Betty Gilpin, Hilary Swank, Ike Barinholtz","Twelve strangers wake up in a clearing. They don't know where they are, or how they got there. They don't know they've been chosen - for a very specific purpose - The Hunt.","English, Arabic",https://m.media-amazon.com/images/M/MV5BNjg4MjRhZjgtNTIxOS00MmRjLTg4NTEtNjBkNzkwZjAxMjMyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,50,6.5,"$5,812,500",N/A
38,The Rhythm Section,2020,R,31 Jan 2020,109 min,"Action, Drama, Mystery",Reed Morano,Mark Burnell,"Blake Lively, Richard Brake, Elly Curtis",A woman seeks revenge against those who orchestrated a plane crash that killed her family.,"English, French, Arabic, Spanish",https://m.media-amazon.com/images/M/MV5BZDMyZjQwY2QtYzRhMS00NDBkLWIzZjAtY2I1Nzg3OTEzMDBlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,45,5.3,"$5,437,971",N/A
39,The SpongeBob Movie: Sponge on the Run,2020,PG,04 Mar 2021,91 min,"Animation, Adventure, Comedy",Tim Hill,"Tim Hill, Jonathan Aibel, Glenn Berger","Tim Hill, Clancy Brown, Bill Fagerbakke","After SpongeBob's beloved pet snail Gary is snail-napped, he and Patrick embark on an epic adventure to The Lost City of Atlantic City to bring Gary home.","English, Arabic",https://m.media-amazon.com/images/M/MV5BOGYxYzZkMWQtNjJkMy00NTlkLWExNWMtOTNhMTg4MDcxNmU3XkEyXkFqcGdeQXVyMDk5Mzc5MQ@@._V1_SX300.jpg,65,6.0,"$4,810,790",N/A
40,The Broken Hearts Gallery,2020,PG-13,11 Sep 2020,109 min,"Comedy, Romance",Natalie Krinsky,Natalie Krinsky,"Geraldine Viswanathan, Dacre Montgomery, Utkarsh Ambudkar","After a break-up, a young woman decides to start a gallery where people can leave trinkets from past relationships.",English,https://m.media-amazon.com/images/M/MV5BYzJjNWExODktNDZiMS00YzUyLWE2ZTgtYjMxZWZkNGU4YTI3XkEyXkFqcGdeQXVyNTUyMjUxMTM@._V1_SX300.jpg,57,6.3,"$4,067,442",N/A
41,Infidel,2019,R,18 Sep 2020,108 min,"Action, Thriller",Cyrus Nowrasteh,Cyrus Nowrasteh,"Jim Caviezel, Claudia Karvan, Hal Ozsan","An American man, played by Jim Caviezel, is kidnapped after a friend invites him to Cairo to speak out about recent militant uprisings. His wife heads to the city after hearing the news, determined to get him back.",English,https://m.media-amazon.com/images/M/MV5BY2IwOWY2YjgtYTcxNy00ZjM5LWJjNmEtYzU4NTdjOGQzYzNlXkEyXkFqcGdeQXVyNTQ3MjE4NTU@._V1_SX300.jpg,N/A,5.8,"$4,051,990",N/A
42,Portrait de la jeune fille en feu,2019,R,14 Feb 2020,122 min,"Drama, Romance",Céline Sciamma,Céline Sciamma,"Noémie Merlant, Adèle Haenel, Luàna Bajrami","On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.","French, Italian",https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,95,8.1,"$3,759,854",N/A
43,Bill,2007,R,18 Jun 2008,93 min,"Comedy, Drama","Bernie Goldmann, Melisa Wallack",Melisa Wallack,"Aaron Eckhart, Jessica Alba, Logan Lerman",A guy fed up with his job and married to a cheating wife reluctantly mentors a rebellious teen.,English,https://m.media-amazon.com/images/M/MV5BMTExNDk1MjAxNTJeQTJeQWpwZ15BbWU3MDc4MzkyNjE@._V1_SX300.jpg,30,6.2,"$62,597",N/A
44,The Empty Man,2020,R,23 Oct 2020,137 min,"Horror, Mystery, Thriller",David Prior,"David Prior, Cullen Bunn","James Badge Dale, Marin Ireland, Sasha Frolova","On the trail of a missing girl, an ex-cop comes across a secretive group attempting to summon a terrifying supernatural entity.",English,https://m.media-amazon.com/images/M/MV5BNWQyMzA3NDItMDRhZi00MWUxLTgyYmYtM2I1NTI3ZTE2NjY5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,N/A,6.1,"$2,992,948",N/A
45,Minari,2020,PG-13,12 Feb 2021,115 min,Drama,Lee Isaac Chung,Lee Isaac Chung,"Steven Yeun, Yeri Han, Alan S. Kim",A Korean family starts a farm in 1980s Arkansas.,"Korean, English",https://m.media-amazon.com/images/M/MV5BNWEzOTNjNDgtZDhhYS00ODAxLWIzNGMtYjU3OGZhYmI3ZDU4XkEyXkFqcGdeQXVyMTAzNjk5MDI4._V1_SX300.jpg,89,7.5,"$3,110,580",N/A
46,The Last Full Measure,2019,R,24 Jan 2020,116 min,"Drama, War",Todd Robinson,Todd Robinson,"Sebastian Stan, Alison Sudol, Asher Miles Fallica","Thirty-four years after his death, Airman William H. Pitsenbarger, Jr. (""Pits"") is awarded the nation's highest military honor, for his actions on the battlefield.",English,https://m.media-amazon.com/images/M/MV5BOTQyMjBmNDAtNDA0YS00ODFiLTk2OTUtMWM5NzI4NjM1YzhhXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,51,6.8,"$2,949,212",N/A
47,Words on Bathroom Walls,2020,PG-13,21 Aug 2020,110 min,"Drama, Romance",Thor Freudenthal,"Nick Naveda, Julia Walton","Charlie Plummer, Andy Garcia, Taylor Russell","Diagnosed with a mental illness halfway through his senior year of high school, a witty, introspective teen struggles to keep it a secret while falling in love with a brilliant classmate who inspires him to not be defined by his cond",English,https://m.media-amazon.com/images/M/MV5BNTJmNTNlZDEtM2JjNy00MmNmLTgzNWItN2VlZGNlNjM1YjFmXkEyXkFqcGdeQXVyMTExMDk0NzQ3._V1_SX300.jpg,61,7.2,"$2,542,518",N/A
48,After We Collided,2020,R,23 Oct 2020,105 min,"Drama, Romance",Roger Kumble,"Anna Todd, Mario Celaya","Josephine Langford, Hero Fiennes Tiffin, Dylan Sprouse","Based on the 2014 romance novel of the same name, this follows the love life of two young adults.","English, Chinese",https://m.media-amazon.com/images/M/MV5BN2UyNGM3MDUtMTIzZi00ZDdkLThlYTktYjk0ZDMzM2JiMjMyXkEyXkFqcGdeQXVyNzE0MjkxMzA@._V1_SX300.jpg,14,5.2,"$2,386,483",N/A
49,Half Brothers,2020,PG-13,04 Dec 2020,96 min,"Comedy, Drama",Luke Greenfield,"Ali LeRoi, Eduardo Cisneros, Jason Shuman","José Zúñiga, Luis Gerardo Méndez, Vincent Spano","Renato, a Mexican aviation exec, is shocked to learn he has an American half-brother he never knew about, the free-spirited Asher. They are forced on a road trip together, tracing the path their father took from Mexico to the US.","Spanish, English",https://m.media-amazon.com/images/M/MV5BNWYyMWFmYjMtMjBiZi00MDdmLWIyMjAtZWNlMGQ0YjI2NTBkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,30,6.1,"$2,241,980",N/A
